City,Score
Lake Thomashaven,8.0
Lake Tyler,11.0
Lake Tylerbury,6.0
Lake Veronicafort,3.0
Lake Zacharyfort,8.0
Lauraborough,10.0
Laurafurt,5.0
Laurenfurt,10.0
Lawsonmouth,1.0
Leahland,9.0
Leeberg,9.0
Leonardburgh,7.0
Lesliefort,3.0
Lewisfort,12.0
Lewisport,6.0
Lindseymouth,5.0
Loganside,12.0
Loganview,3.0
Lopezchester,7.0
Lopezfurt,10.0
Lopezview,4.0
Loweport,5.0
Luisstad,3.0
Mahoneyton,1.0
Margaretfurt,5.0
Margaretland,10.0
Mariahaven,10.0
Marieview,11.0
Marissamouth,4.0
Markchester,8.0
Markside,12.0
Markville,2.0
Martinborough,7.0
Martinchester,2.0
Martinezborough,11.0
Martinezmouth,7.0
Mathisville,8.0
Matthewburgh,12.0
Matthewton,6.0
Maxwellmouth,11.0
Mcdonaldberg,12.0
Mcdonaldton,11.0
Mckinneyland,9.0
Medinamouth,2.0
Meganland,10.0
Meganville,10.0
Melissahaven,4.0
Melissaport,2.0
Mendezport,9.0
Mercedesfort,4.0
Meyersfort,2.0
Michaelberg,10.0
Michaelstad,10.5
Michaeltown,4.0
Michelleborough,6.0
Michellefort,2.0
Michellemouth,5.0
Michelleport,3.0
Michellestad,12.0
Millerburgh,10.0
Millerside,4.0
Millertown,6.0
Molinashire,11.0
Mollychester,11.0
Mollyside,4.0
Monicaberg,9.0
Montesport,7.0
Mooneyhaven,4.0
Mooremouth,9.0
Mooreside,2.0
Mooreview,5.0
Morachester,6.0
Morrisshire,1.0
Mullenton,1.0
Murrayside,4.0
Nashchester,10.0
Natalieside,5.0
Natashaview,10.0
Nathanielchester,6.0
Nathanton,12.0
Navarromouth,3.0
Nealshire,2.0
New Allison,3.0
New Amy,6.0
New Amyburgh,2.0
New Andrewstad,1.0
New Angela,8.0
New Angelaland,7.0
New Angelatown,1.0
New Anita,10.0
New Anitaburgh,3.0
New Austin,2.0
New Barbara,5.0
New Brendahaven,4.0
New Brittany,6.0
New Brittanyfurt,8.0
New Charlotte,8.0
New Christinahaven,7.0
New Cindy,12.0
New Daniel,7.0
New Darin,5.0
New David,12.0
New Davidport,1.0
New Deborahbury,12.0
New Donaldfort,10.0
New Donbury,1.0
New Douglasland,1.0
New Edward,7.0
New Eric,3.0
New Fred,2.0
New Georgeland,11.0
New Glenn,1.0
New Ian,1.0
New James,12.0
New Jayhaven,11.0
New Jenniferborough,7.0
New Jessicatown,4.0
New Jessicaville,6.0
New Jillianbury,1.0
New John,12.0
New Johnmouth,2.0
New Johnny,8.0
New Johnnyview,2.0
New Joseph,12.0
New Julia,9.0
New Julie,8.0
New Justinberg,1.0
New Katelyn,6.0
New Katherinefort,3.0
New Kenneth,12.0
New Kimberlymouth,8.0
New Kylemouth,7.0
New Lisa,9.0
New Lisashire,11.0
New Markhaven,1.0
New Markside,2.0
New Mary,4.0
New Matthewborough,4.0
New Megan,9.0
New Michaelhaven,5.0
New Michele,1.0
New Mitchellport,12.0
New Natashachester,8.0
New Nathanielburgh,5.0
New Nicholas,3.0
New Pamelaview,3.0
New Raymondberg,12.0
New Richardview,6.0
New Robert,12.0
New Robin,11.0
New Scott,2.0
New Shanemouth,7.0
New Sherry,5.0
New Susan,2.0
New Susanview,2.0
New Terri,9.0
New Theresa,12.0
New Thomas,9.5
New Veronica,10.0
New Vincentview,9.0
New Wesleyburgh,8.0
New Zachary,4.0
Newmanbury,3.0
Nicholasborough,2.0
Nicholasfort,12.0
Nicholston,2.0
Nicolefort,12.0
Noahborough,1.0
Noahhaven,5.0
Noahville,2.0
Norrisview,11.0
North Alan,2.0
North Alexandria,1.0
North Amanda,1.0
North Amandamouth,10.0
North Amber,12.0
North Anne,10.0
North Antonio,7.0
North Ashley,10.0
North Ashleyshire,3.0
North Bethany,9.0
North Brianside,8.0
North Charlesshire,12.0
North Charlotteville,9.0
North Christina,3.0
North Christinaborough,9.0
North Christine,7.0
North Chrisview,11.0
North Craig,8.0
North Crystal,6.0
North Curtismouth,12.0
North Daltonfurt,5.0
North Danielle,7.0
North Danielshire,9.0
North Danielview,5.0
North Donald,7.0
North Dustin,1.0
North Erinshire,1.0
North Erinside,9.0
North Frank,12.0
North Garrettfort,12.0
North James,1.0
North Jasmine,6.0
North Jeffery,7.0
North Jeremy,3.0
North Jerryberg,5.0
North Jessicaview,2.0
North Jimmy,12.0
North John,12.0
North Justintown,10.0
North Katelyn,8.0
North Kenneth,7.0
North Kevinmouth,2.0
North Leahview,3.0
North Lindaberg,10.0
North Lisaville,2.0
North Markchester,12.0
North Maryland,4.0
North Matthew,4.0
North Michaelhaven,6.0
North Monicamouth,2.0
North Pamelaport,2.0
North Paula,9.0
North Peter,8.0
North Phillipfurt,4.0
North Robert,12.0
North Ryan,9.0
North Ryanside,7.0
North Sara,5.0
North Sarah,8.0
North Stefaniebury,9.0
North Stephanieside,6.0
North Teresastad,7.0
North Tiffany,10.0
North Tiffanyland,10.0
North Tiffanyshire,11.0
North Tim,5.0
North Timothy,8.0
North Tyler,10.0
North Tyrone,5.0
North Valerie,6.0
North Vanessaburgh,6.0
North Vincent,12.0
North Virginia,4.0
North Williamchester,3.0
Nunezville,3.0
Ochoatown,11.0
Oliviamouth,3.0
Ortizton,1.0
Owenport,3.0
Padillaburgh,1.0
Padillaton,2.0
Pamelatown,4.0
Parkerbury,10.0
Patelmouth,5.0
Patelshire,7.5
Patrickhaven,3.0
Pattersonchester,1.0
Paulbury,5.0
Penningtonmouth,7.0
Pereztown,11.0
Perkinsberg,5.0
Phamborough,7.0
Phillipsfort,12.0
Poolehaven,4.0
Poolemouth,5.0
Popeland,11.0
Port Alexandermouth,7.0
Port Aliciamouth,11.0
Port Alishaton,6.0
Port Arthurfurt,7.0
Port Brittanybury,11.0
Port Carlosfurt,6.0
Port Christophertown,2.0
Port Crystal,12.0
Port Cynthiafurt,4.0
Port Daniel,7.0
Port Danielle,6.0
Port Danielleton,6.0
Port David,5.0
Port Dianemouth,1.0
Port Donald,1.0
Port Dylan,3.0
Port Elizabethmouth,4.0
Port Erinside,1.0
Port Feliciaburgh,10.0
Port Glennmouth,6.0
Port Gregoryfurt,12.0
Port Hunterbury,4.0
Port Jacqueline,7.0
Port Janice,2.0
Port John,10.0
Port Johnburgh,8.0
Port Joshuashire,2.0
Port Julieborough,5.0
Port Karenfort,12.0
Port Katherine,12.0
Port Kaylafurt,1.0
Port Kimberly,8.0
Port Kimfort,3.0
Port Laura,8.0
Port Laurenborough,10.0
Port Leslieborough,5.0
Port Lindsey,5.0
Port Mandyborough,5.0
Port Matthew,4.0
Port Melaniestad,7.0
Port Melissa,10.0
Port Melissaton,10.0
Port Michael,7.666666666666667
Port Michelleberg,12.0
Port Nichole,1.0
Port Pamelamouth,11.0
Port Paulchester,1.0
Port Peter,1.0
Port Peterfort,9.0
Port Robertchester,12.0
Port Sarah,5.0
Port Selena,10.0
Port Stephanieside,6.0
Port Stevenfort,7.0
Port Tanya,12.0
Port Taramouth,12.0
Port Teresaton,12.0
Port Tiffany,1.0
Port Timothy,2.0
Port Timothytown,1.0
Port Travis,7.0
Port Travisberg,5.0
Port Troyburgh,5.0
Port Wanda,7.0
Port Wayneland,7.0
Port Whitneymouth,5.0
Port William,4.0
Rachelborough,5.0
Rachelport,1.0
Rachelstad,9.0
Ramirezborough,5.5
Ramirezshire,8.0
Ramosberg,1.0
Randychester,11.0
Rayport,11.0
Rebeccafort,5.0
Reedville,7.0
Reginaldside,6.0
Reyesshire,9.0
Reynoldsfort,6.0
Richardmouth,7.0
Richmondshire,6.0
Roachmouth,2.0
Robertborough,2.0
Robertbury,3.0
Robertsonborough,5.0
Robertsville,8.0
Rodriguezburgh,1.0
Rodriguezville,9.0
Rogershaven,5.0
Rogersville,5.0
Rojasshire,2.0
Rosariomouth,11.0
Ryanfort,6.0
Ryanport,6.0
Sallyside,3.0
Samuelmouth,9.0
Sanchezport,12.0
Sanchezview,3.0
Sandersfort,8.0
Sandrafurt,12.0
Sandraland,5.0
Sandraview,9.0
Sandraville,10.0
Sanfordview,5.0
Santiagofurt,4.0
Santiagoview,4.0
Sarahchester,7.0
Sarahmouth,9.0
Sarahview,8.0
Saramouth,6.0
Schmidtchester,4.0
Schmidtport,3.0
Schmidtshire,12.0
Scottborough,11.0
Scottburgh,9.0
Selenaport,1.0
Selenaview,8.0
Shannonmouth,8.0
Sharitown,6.0
Sharonfurt,10.0
Shawfurt,4.0
Sheilaburgh,3.0
Simpsonberg,10.0
Simpsonton,7.0
Simsbury,11.0
Smithfort,3.5
Smithstad,1.0
Smithview,2.0
Snowmouth,6.0
Sotohaven,5.0
South Alexander,2.0
South Alison,4.0
South Amanda,4.0
South Ashleyton,11.0
South Benjamin,9.0
South Blake,6.0
South Brenda,12.0
South Bryan,10.0
South Candacefurt,12.0
South Charlesmouth,3.0
South Chase,11.0
South Chelsey,5.0
South Chelseyview,6.0
South Christophermouth,1.0
South Crystal,9.0
South Danielhaven,10.0
South Danielleburgh,12.0
South David,12.0
South Davidport,1.0
South Deborah,11.0
South Debratown,10.0
South Diamond,1.0
South Donna,9.0
South Elizabeth,3.0
South Erinview,8.0
South Gailside,10.0
South George,10.0
South Henry,4.0
South Jeffrey,4.0
South Jeffreymouth,5.0
South Jenniferview,7.0
South Jerry,3.0
South Joseph,1.0
South Joshua,11.0
South Joshuatown,11.0
South Judy,2.0
South Kennethstad,7.0
South Kerriport,4.0
South Kimberly,5.0
South Laurachester,10.0
South Lawrencemouth,3.0
South Marieport,12.0
South Mark,5.0
South Michaelbury,4.0
South Michaelfort,3.0
South Michelle,7.0
South Nathanstad,7.0
South Nicholasburgh,12.0
South Ninafort,5.0
South Oliviaton,12.0
South Patriciatown,2.0
South Patrick,2.0
South Raymondmouth,7.0
South Rebeccafort,2.0
South Richard,11.0
South Rita,2.0
South Roseshire,1.0
South Samanthafurt,2.0
South Samanthaport,3.0
South Scottport,9.0
South Sean,6.0
South Stephenfurt,1.0
South Stephenmouth,1.0
South Steven,7.0
South Stevenstad,1.0
South Tanner,3.0
South Tanya,8.0
South Thomas,5.0
South Timothyburgh,10.0
South Todd,9.0
South Victoria,3.0
South Vincent,3.0
South Wendy,8.0
Sparksside,12.0
Spearsville,7.0
Stephaniemouth,11.0
Stephenschester,10.0
Stephenville,2.0
Stevenborough,12.0
Stevensfurt,1.0
Stewartfurt,2.0
Stewartland,5.0
Stewartmouth,7.0
Stewartshire,10.0
Stewarttown,12.0
Stokesburgh,4.0
Tannerton,7.0
Taylortown,10.0
Taylorville,6.0
Teresaland,10.0
Terrellberg,8.0
Thomashaven,12.0
Thomasmouth,2.0
Thomasside,8.0
Thompsonbury,7.0
Timothyburgh,4.0
Timothymouth,10.0
Timothyside,4.0
Timothyton,9.0
Toddside,1.0
Tonyborough,5.0
Tracybury,11.0
Trevinoborough,2.0
Tuckerborough,12.0
Tuckerfort,1.0
Turnerfurt,8.0
Tylerburgh,10.0
Tylerville,10.0
Valeriebury,2.0
Vanessaland,4.0
Victoriaburgh,9.0
Vincenttown,6.0
Wadeton,5.0
Walkermouth,4.0
Walkerside,11.0
Wardshire,12.0
Warrenland,6.0
Wayneview,9.0
Webbmouth,11.0
Websterport,11.0
Websterside,6.0
Weissburgh,1.0
Welchport,8.0
Wellshaven,7.0
Wendyburgh,8.0
Wendyshire,8.0
West Adam,12.0
West Alberthaven,7.0
West Amanda,9.0
West Angelicamouth,12.0
West Annaton,11.0
West Arthurton,5.0
West Brandy,12.0
West Brian,10.0
West Candicemouth,4.0
West Christopherport,12.0
West Crystal,8.0
West Cynthia,9.0
West David,11.0
West Denise,8.0
West Destiny,4.0
West Donaldhaven,3.0
West Elizabeth,5.0
West George,10.0
West Georgeland,4.0
West Heidifort,10.0
West James,9.5
West Jamesshire,9.0
West Jeannefort,2.0
West Jeffreyburgh,5.0
West Jennifer,7.0
West Jenniferland,12.0
West Jennifertown,11.0
West Jeremy,1.0
West Jessica,3.0
West Joanna,5.0
West Jonathan,1.0
West Joshuafort,6.0
West Justinfort,8.0
West Katherine,7.0
West Kathytown,5.0
West Kayla,1.0
West Keith,2.0
West Kelly,7.0
West Kerrymouth,10.0
West Kevintown,5.0
West Kimberlytown,11.0
West Kristenhaven,6.0
West Laura,10.0
West Lindsay,11.0
West Lisa,8.0
West Maurice,12.0
West Michael,4.0
West Michaelmouth,6.0
West Mollyton,4.0
West Patrickberg,10.0
West Rebeccaberg,12.0
West Rebeccaton,8.0
West Richardside,2.0
West Robertburgh,7.0
West Robertport,4.0
West Scott,3.5
West Scottchester,8.0
West Shannonshire,4.0
West Sharon,4.0
West Shawn,12.0
West Sherry,2.0
West Steven,2.0
West Theresatown,3.0
West Toddport,9.0
Whitestad,12.0
Whitetown,11.0
Whitneyland,5.0
Williamland,4.0
Williamport,5.0
Williamschester,2.0
Williamsonmouth,11.0
Williamsville,6.0
Williamtown,9.0
Wolfefurt,2.0
Woodchester,9.0
Zacharyberg,3.0
Zacharychester,9.0
